Description,Symbol,Transaction Date,Settlement Date,Account Currency,Type,Quantity,Currency of Price,Price,Settlement Amount
CBO,31-Dec-2014,31-Dec-2014,CAD,DIV,0.00,CAD,0.000,0.15
GS,30-Dec-2014,30-Dec-2014,CAD,DIV,0.00,CAD,0.000,0.69
VTI,29-Dec-2014,29-Dec-2014,CAD,DIV,0.00,CAD,0.000,64.57
VOO,24-Dec-2014,24-Dec-2014,CAD,DIV,0.00,CAD,0.000,118.38
KO,15-Dec-2014,15-Dec-2014,CAD,DIV,0.00,CAD,0.000,32.90
MKSI,12-Dec-2014,12-Dec-2014,CAD,DIV,0.00,CAD,0.000,28.33
LLY,10-Dec-2014,10-Dec-2014,CAD,DIV,0.00,CAD,0.000,27.85
CBO,05-Dec-2014,05-Dec-2014,CAD,DIV,0.00,CAD,0.000,0.14
XTR,28-Nov-2014,28-Nov-2014,CAD,DIV,0.00,CAD,0.000,30.00
CBO,28-Nov-2014,28-Nov-2014,CAD,DIV,0.00,CAD,0.000,13.19
HPT,21-Nov-2014,21-Nov-2014,CAD,DIV,0.00,CAD,0.000,55.05
NYB,20-Nov-2014,20-Nov-2014,CAD,DIV,0.00,CAD,0.000,49.27
CBO,07-Nov-2014,07-Nov-2014,CAD,DIV,0.00,CAD,0.000,0.12
POT,04-Nov-2014,04-Nov-2014,CAD,DIV,0.00,CAD,0.000,39.33
XTR,31-Oct-2014,31-Oct-2014,CAD,DIV,0.00,CAD,0.000,30.00
CBO,31-Oct-2014,31-Oct-2014,CAD,DIV,0.00,CAD,0.000,12.99
CM,28-Oct-2014,28-Oct-2014,CAD,DIV,0.00,CAD,0.000,25.00
CBO,07-Oct-2014,07-Oct-2014,CAD,DIV,0.00,CAD,0.000,0.13
<cash>,01-Oct-2014,01-Oct-2014,CAD,FEE,0.00,CAD,0.000,-30.00
<cash>,01-Oct-2014,01-Oct-2014,CAD,GST,0.00,CAD,0.000,-1.50
KO,01-Oct-2014,01-Oct-2014,CAD,DIV,0.00,CAD,0.000,31.78
XTR,30-Sep-2014,30-Sep-2014,CAD,DIV,0.00,CAD,0.000,30.00
CBO,30-Sep-2014,30-Sep-2014,CAD,DIV,0.00,CAD,0.000,13.26
VTI,30-Sep-2014,30-Sep-2014,CAD,DIV,0.00,CAD,0.000,51.48
GS,29-Sep-2014,29-Sep-2014,CAD,DIV,0.00,CAD,0.000,0.61
VOO,26-Sep-2014,26-Sep-2014,CAD,DIV,0.00,CAD,0.000,96.58
MKSI,12-Sep-2014,12-Sep-2014,CAD,DIV,0.00,CAD,0.000,27.00
LLY,10-Sep-2014,10-Sep-2014,CAD,DIV,0.00,CAD,0.000,26.67
CBO,08-Sep-2014,08-Sep-2014,CAD,DIV,0.00,CAD,0.000,0.12
XTR,29-Aug-2014,29-Aug-2014,CAD,DIV,0.00,CAD,0.000,30.00
CBO,29-Aug-2014,29-Aug-2014,CAD,DIV,0.00,CAD,0.000,13.26
HPT,22-Aug-2014,22-Aug-2014,CAD,DIV,0.00,CAD,0.000,53.31
NYB,20-Aug-2014,20-Aug-2014,CAD,DIV,0.00,CAD,0.000,47.32
CBO,07-Aug-2014,07-Aug-2014,CAD,DIV,0.00,CAD,0.000,0.12
POT,01-Aug-2014,01-Aug-2014,CAD,DIV,0.00,CAD,0.000,37.52
XTR,31-Jul-2014,31-Jul-2014,CAD,DIV,0.00,CAD,0.000,30.00
CBO,31-Jul-2014,31-Jul-2014,CAD,DIV,0.00,CAD,0.000,13.84
CM,28-Jul-2014,28-Jul-2014,CAD,DIV,0.00,CAD,0.000,25.00
CBO,08-Jul-2014,08-Jul-2014,CAD,DIV,0.00,CAD,0.000,0.11
<cash>,02-Jul-2014,02-Jul-2014,CAD,FEE,0.00,CAD,0.000,-30.00
<cash>,02-Jul-2014,02-Jul-2014,CAD,GST,0.00,CAD,0.000,-1.50
KO,02-Jul-2014,02-Jul-2014,CAD,DIV,0.00,CAD,0.000,30.38
CBQ,30-Jun-2014,30-Jun-2014,CAD,DIV,0.00,CAD,0.000,131.67
XTR,30-Jun-2014,30-Jun-2014,CAD,DIV,0.00,CAD,0.000,30.00
CBO,30-Jun-2014,30-Jun-2014,CAD,DIV,0.00,CAD,0.000,13.68
VTI,30-Jun-2014,30-Jun-2014,CAD,DIV,0.00,CAD,0.000,44.54
VOO,27-Jun-2014,27-Jun-2014,CAD,DIV,0.00,CAD,0.000,85.96
GS,27-Jun-2014,27-Jun-2014,CAD,DIV,0.00,CAD,0.000,0.58
MKSI,13-Jun-2014,13-Jun-2014,CAD,DIV,0.00,CAD,0.000,26.67
LLY,10-Jun-2014,10-Jun-2014,CAD,DIV,0.00,CAD,0.000,26.53
CBO,06-Jun-2014,06-Jun-2014,CAD,DIV,0.00,CAD,0.000,0.10
XTR,30-May-2014,30-May-2014,CAD,DIV,0.00,CAD,0.000,30.00
CBO,30-May-2014,30-May-2014,CAD,DIV,0.00,CAD,0.000,13.60
NYB,22-May-2014,22-May-2014,CAD,DIV,0.00,CAD,0.000,47.34
HPT,21-May-2014,21-May-2014,CAD,DIV,0.00,CAD,0.000,52.92
CBO,07-May-2014,07-May-2014,CAD,DIV,0.00,CAD,0.000,0.09
POT,01-May-2014,01-May-2014,CAD,DIV,0.00,CAD,0.000,38.19
XTR,30-Apr-2014,30-Apr-2014,CAD,DIV,0.00,CAD,0.000,30.00
CBO,30-Apr-2014,30-Apr-2014,CAD,DIV,0.00,CAD,0.000,13.75
CM,28-Apr-2014,28-Apr-2014,CAD,DIV,0.00,CAD,0.000,24.50
CBO,07-Apr-2014,07-Apr-2014,CAD,DIV,0.00,CAD,0.000,0.09
<cash>,01-Apr-2014,01-Apr-2014,CAD,FEE,0.00,CAD,0.000,-30.00
<cash>,01-Apr-2014,01-Apr-2014,CAD,GST,0.00,CAD,0.000,-1.50
KO,01-Apr-2014,01-Apr-2014,CAD,DIV,0.00,CAD,0.000,31.38
XTR,31-Mar-2014,31-Mar-2014,CAD,DIV,0.00,CAD,0.000,30.00
CBO,31-Mar-2014,31-Mar-2014,CAD,DIV,0.00,CAD,0.000,13.76
VTI,31-Mar-2014,31-Mar-2014,CAD,DIV,0.00,CAD,0.000,46.40
VOO,28-Mar-2014,28-Mar-2014,CAD,DIV,0.00,CAD,0.000,85.73
GS,28-Mar-2014,28-Mar-2014,CAD,DIV,0.00,CAD,0.000,15.74
MKSI,14-Mar-2014,14-Mar-2014,CAD,DIV,0.00,CAD,0.000,26.36
GS,14-Mar-2014,19-Mar-2014,CAD,SELL,-25.00,USD,165.720,4579.26
LPNT,13-Mar-2014,18-Mar-2014,CAD,SELL,-75.00,USD,51.040,4228.35
LLY,10-Mar-2014,10-Mar-2014,CAD,DIV,0.00,CAD,0.000,26.88
CBO,07-Mar-2014,07-Mar-2014,CAD,DIV,0.00,CAD,0.000,0.08
XTR,28-Feb-2014,28-Feb-2014,CAD,DIV,0.00,CAD,0.000,30.00
CBO,28-Feb-2014,28-Feb-2014,CAD,DIV,0.00,CAD,0.000,14.00
NYB,21-Feb-2014,21-Feb-2014,CAD,DIV,0.00,CAD,0.000,48.06
HPT,21-Feb-2014,21-Feb-2014,CAD,DIV,0.00,CAD,0.000,52.73
SWY,20-Feb-2014,25-Feb-2014,CAD,SELL,-50.00,USD,34.920,1922.59
VOO,18-Feb-2014,21-Feb-2014,CAD,BUY,100.00,USD,168.850,-18533.80
VTI,18-Feb-2014,21-Feb-2014,CAD,BUY,100.00,USD,96.100,-10553.13
EZPW,12-Feb-2014,18-Feb-2014,CAD,SELL,-50.00,USD,12.210,671.83
CBO,07-Feb-2014,07-Feb-2014,CAD,DIV,0.00,CAD,0.000,0.10
POT,06-Feb-2014,06-Feb-2014,CAD,DIV,0.00,CAD,0.000,38.24
XTR,31-Jan-2014,31-Jan-2014,CAD,DIV,0.00,CAD,0.000,30.00
CBO,31-Jan-2014,31-Jan-2014,CAD,DIV,0.00,CAD,0.000,14.70
CM,28-Jan-2014,28-Jan-2014,CAD,DIV,0.00,CAD,0.000,24.00
SWY,14-Jan-2014,14-Jan-2014,CAD,DIV,0.00,CAD,0.000,10.78
CBQ,06-Jan-2014,06-Jan-2014,CAD,DIV,0.00,CAD,0.000,136.44
XTR,06-Jan-2014,06-Jan-2014,CAD,DIV,0.00,CAD,0.000,30.00
CBO,06-Jan-2014,06-Jan-2014,CAD,DIV,0.00,CAD,0.000,13.80
<cash>,02-Jan-2014,02-Jan-2014,CAD,FEE,0.00,CAD,0.000,-30.00
<cash>,02-Jan-2014,02-Jan-2014,CAD,GST,0.00,CAD,0.000,-1.50
CBO,02-Jan-2014,02-Jan-2014,CAD,DIV,0.00,CAD,0.000,0.08
GS,30-Dec-2013,30-Dec-2013,CAD,DIV,0.00,CAD,0.000,15.12
KO,16-Dec-2013,16-Dec-2013,CAD,DIV,0.00,CAD,0.000,27.66
MKSI,13-Dec-2013,13-Dec-2013,CAD,DIV,0.00,CAD,0.000,25.32
LLY,10-Dec-2013,10-Dec-2013,CAD,DIV,0.00,CAD,0.000,25.90
CBO,06-Dec-2013,06-Dec-2013,CAD,DIV,0.00,CAD,0.000,0.08
XTR,29-Nov-2013,29-Nov-2013,CAD,DIV,0.00,CAD,0.000,30.00
CBO,29-Nov-2013,29-Nov-2013,CAD,DIV,0.00,CAD,0.000,14.00
HPT,22-Nov-2013,22-Nov-2013,CAD,DIV,0.00,CAD,0.000,49.85
NYB,19-Nov-2013,19-Nov-2013,CAD,DIV,0.00,CAD,0.000,45.19
CBO,07-Nov-2013,07-Nov-2013,CAD,DIV,0.00,CAD,0.000,0.08
POT,05-Nov-2013,05-Nov-2013,CAD,DIV,0.00,CAD,0.000,36.30
XTR,31-Oct-2013,31-Oct-2013,CAD,DIV,0.00,CAD,0.000,30.00
CBO,31-Oct-2013,31-Oct-2013,CAD,DIV,0.00,CAD,0.000,14.28
CM,28-Oct-2013,28-Oct-2013,CAD,DIV,0.00,CAD,0.000,24.00
UUU,24-Oct-2013,24-Oct-2013,CAD,SELL,-1000.00,CAD,2.860,2860.00
SWY,10-Oct-2013,10-Oct-2013,CAD,DIV,0.00,CAD,0.000,10.29
CBO,07-Oct-2013,07-Oct-2013,CAD,DIV,0.00,CAD,0.000,0.07
